#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	mock_metaphlan	S1_metaphlan	S2_metaphlan	S3_metaphlan	S4_metaphlan	S5_metaphlan	S6_metaphlan	S7_metaphlan	S8_metaphlan	S9_metaphlan
UNCLASSIFIED	430969.0	160185.0	5489029.0	1099301.0	640127.0	129930.0	3714256.0	350000.0	0.0	101806.0
k__Bacteria	3531580.0	780847.0	236964.0	4303444.0	2642683.0	144033.0	709702.0	1960852.0	0.0	62819.0
k__Bacteria|p__Firmicutes	1472881.0	18026.0	1725.0	2106373.0	18220.0	108356.0	17968.0	77307.0	0.0	26230.0
k__Bacteria|p__Proteobacteria	1551255.0	40959.0	235239.0	574517.0	1197638.0	34261.0	691734.0	59038.0	0.0	4861.0
k__Bacteria|p__Bacteroidetes	504289.0	0.0	0.0	72282.0	0.0	0.0	0.0	1824507.0	0.0	31728.0
k__Bacteria|p__Actinobacteria	3155.0	721862.0	0.0	1550272.0	1426825.0	1416.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	1301645.0	15035.0	1725.0	1552257.0	7812.0	15771.0	17968.0	77307.0	0.0	799.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	504289.0	0.0	0.0	72282.0	0.0	0.0	0.0	1824507.0	0.0	31728.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	982540.0	40959.0	235239.0	574205.0	1197638.0	34261.0	691734.0	59038.0	0.0	4861.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	562327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	171236.0	0.0	0.0	11505.0	0.0	10284.0	0.0	0.0	0.0	22471.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3378.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3155.0	721862.0	0.0	1550272.0	1426825.0	1416.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	579834.0	15035.0	0.0	1545662.0	7812.0	15771.0	17968.0	29219.0	0.0	799.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	721811.0	0.0	1725.0	6595.0	0.0	0.0	0.0	48088.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	504289.0	0.0	0.0	72282.0	0.0	0.0	0.0	1824507.0	0.0	31728.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	872460.0	40959.0	235239.0	574205.0	1197638.0	23061.0	691734.0	59038.0	0.0	4861.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	562327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	171236.0	0.0	0.0	11505.0	0.0	10284.0	0.0	0.0	0.0	22471.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	110080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3378.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	3155.0	0.0	0.0	16688.0	0.0	1416.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	578451.0	2134.0	0.0	96684.0	3414.0	2604.0	17059.0	28610.0	0.0	799.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	603827.0	0.0	1725.0	6595.0	0.0	0.0	0.0	48088.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	504289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	872460.0	40959.0	235239.0	574205.0	1197638.0	23061.0	691734.0	59038.0	0.0	4861.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	562327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	171236.0	0.0	0.0	0.0	0.0	10284.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	117984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	103066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	3378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	7014.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	3010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	3155.0	0.0	0.0	16688.0	0.0	1416.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1383.0	0.0	0.0	28342.0	201.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	578451.0	2134.0	0.0	96684.0	3414.0	2604.0	1147.0	28610.0	0.0	799.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	603827.0	0.0	1725.0	6595.0	0.0	0.0	0.0	48088.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	504289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	872460.0	40959.0	0.0	318249.0	672451.0	19412.0	0.0	59038.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter	562327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	171236.0	0.0	0.0	0.0	0.0	10284.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	117984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	103066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	3378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	7014.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	3010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	3155.0	0.0	0.0	16688.0	0.0	1416.0	0.0	0.0	0.0	0.0
